m,I,V_ub
16,350,401.005
16,360,389.432
16,370,378.193
16,380,367.278
16,390,356.678
16,400,346.385
16,410,336.388
16,420,326.68
16,430,317.251
16,440,308.096
16,450,299.204
16,460,290.569
16,470,282.183
16,480,274.039
16,490,266.13
16,500,258.449
16,510,250.991
16,520,243.747
16,530,236.712
16,540,229.881
16,550,223.246
16,560,216.803
16,570,210.546
16,580,204.47
16,590,198.569
16,600,192.838
16,610,187.273
16,620,181.868
16,630,176.619
16,640,171.522
16,650,166.572
16,660,161.764
16,670,157.096
16,680,152.562
16,690,148.159
16,700,143.883
16,710,139.731
16,720,135.698
16,730,131.782
16,740,127.978
16,750,124.285
16,760,120.698
16,770,117.215
16,780,113.832
16,790,110.547
16,800,107.356
16,810,104.258
16,820,101.249
16,830,98.3269
16,840,95.4892
16,850,92.7333
16,860,90.057
16,870,87.458
16,880,84.9339
16,890,82.4827
16,900,80.1022
16,910,77.7904
16,920,75.5454
16,930,73.3651
16,940,71.2478
16,950,69.1916
16,960,67.1947
16,970,65.2554
16,980,63.3721
16,990,61.5432
16,1000,59.767
17,50,968.212
17,60,940.82
17,70,914.203
17,80,888.339
17,90,863.207
17,100,838.786
17,110,815.056
17,120,791.997
17,130,769.59
17,140,747.818
17,150,726.661
17,160,706.103
17,170,686.127
17,180,666.715
17,190,647.853
17,200,629.525
17,210,611.715
17,220,594.409
17,230,577.592
17,240,561.251
17,250,545.373
17,260,529.944
17,270,514.951
17,280,500.382
17,290,486.226
17,300,472.47
17,310,459.103
17,320,446.115
17,330,433.494
17,340,421.23
17,350,409.313
17,360,397.733
17,370,386.48
17,380,375.546
17,390,364.922
17,400,354.598
17,410,344.566
17,420,334.818
17,430,325.345
17,440,316.141
17,450,307.197
17,460,298.506
17,470,290.061
17,480,281.855
17,490,273.881
17,500,266.132
17,510,258.603
17,520,251.287
17,530,244.178
17,540,237.27
17,550,230.557
17,560,224.034
17,570,217.696
17,580,211.537
17,590,205.553
17,600,199.737
17,610,194.086
17,620,188.595
17,630,183.26
17,640,178.075
17,650,173.037
17,660,168.142
17,670,163.385
17,680,158.763
17,690,154.271
17,700,149.907
17,710,145.665
17,720,141.544
17,730,137.54
17,740,133.649
17,750,129.868
17,760,126.194
17,770,122.623
17,780,119.154
17,790,115.783
17,800,112.508
17,810,109.325
17,820,106.232
17,830,103.226
17,840,100.306
17,850,97.4682
17,860,94.7107
17,870,92.0312
17,880,89.4275
17,890,86.8975
17,900,84.4391
17,910,82.0502
17,920,79.7289
17,930,77.4733
17,940,75.2815
17,950,73.1517
17,960,71.0821
17,970,69.0711
17,980,67.117
17,990,65.2182
17,1000,63.3731
18,50,970.838
18,60,943.883
18,70,917.676
18,80,892.197
18,90,867.425
18,100,843.341
18,110,819.926
18,120,797.161
18,130,775.028
18,140,753.51
18,150,732.589
18,160,712.249
18,170,692.473
18,180,673.247
18,190,654.555
18,200,636.381
18,210,618.712
18,220,601.534
18,230,584.832
18,240,568.595
18,250,552.808
18,260,537.459
18,270,522.537
18,280,508.029
18,290,493.923
18,300,480.21
18,310,466.877
18,320,453.914
18,330,441.311
18,340,429.059
18,350,417.146
18,360,405.564
18,370,394.304
18,380,383.356
18,390,372.712
18,400,362.364
18,410,352.303
18,420,342.521
18,430,333.011
18,440,323.765
