m,I,V_ub
12,970,98.7908
12,980,95.6859
12,990,92.6786
12,1000,89.7657
13,50,1872.66
13,60,1815.33
13,70,1759.76
13,80,1705.88
13,90,1653.66
13,100,1603.03
13,110,1553.95
13,120,1506.38
13,130,1460.26
13,140,1415.56
13,150,1372.22
13,160,1330.21
13,170,1289.49
13,180,1250.01
13,190,1211.74
13,200,1174.64
13,210,1138.68
13,220,1103.82
13,230,1070.03
13,240,1037.27
13,250,1005.52
13,260,974.732
13,270,944.891
13,280,915.964
13,290,887.922
13,300,860.738
13,310,834.387
13,320,808.843
13,330,784.08
13,340,760.076
13,350,736.807
13,360,714.25
13,370,692.383
13,380,671.186
13,390,650.638
13,400,630.719
13,410,611.41
13,420,592.692
13,430,574.547
13,440,556.957
13,450,539.906
13,460,523.377
13,470,507.354
13,480,491.822
13,490,476.765
13,500,462.169
13,510,448.02
13,520,434.304
13,530,421.008
13,540,408.119
13,550,395.624
13,560,383.512
13,570,371.771
13,580,360.39
13,590,349.357
13,600,338.661
13,610,328.293
13,620,318.243
13,630,308.5
13,640,299.055
13,650,289.9
13,660,281.024
13,670,272.421
13,680,264.081
13,690,255.996
13,700,248.159
13,710,240.562
13,720,233.197
13,730,226.058
13,740,219.137
13,750,212.428
13,760,205.925
13,770,199.621
13,780,193.509
13,790,187.585
13,800,181.842
13,810,176.275
13,820,170.879
13,830,165.647
13,840,160.576
13,850,155.66
13,860,150.895
13,870,146.275
13,880,141.797
13,890,137.456
13,900,133.248
13,910,129.168
13,920,125.214
13,930,121.38
13,940,117.664
13,950,114.062
13,960,110.57
13,970,107.185
13,980,103.904
13,990,100.723
13,1000,97.6392
14,50,1879.78
14,60,1823.61
14,70,1769.13
14,80,1716.27
14,90,1664.99
14,100,1615.24
14,110,1566.98
14,120,1520.16
14,130,1474.74
14,140,1430.67
14,150,1387.93
14,160,1346.46
14,170,1306.23
14,180,1267.2
14,190,1229.33
14,200,1192.6
14,210,1156.97
14,220,1122.4
14,230,1088.87
14,240,1056.33
14,250,1024.77
14,260,994.15
14,270,964.446
14,280,935.629
14,290,907.674
14,300,880.554
14,310,854.244
14,320,828.72
14,330,803.959
14,340,779.937
14,350,756.634
14,360,734.026
14,370,712.094
14,380,690.818
14,390,670.177
14,400,650.153
14,410,630.727
14,420,611.881
14,430,593.599
14,440,575.863
14,450,558.657
14,460,541.965
14,470,525.772
14,480,510.062
14,490,494.822
14,500,480.037
14,510,465.694
14,520,451.78
14,530,438.281
14,540,425.186
14,550,412.482
14,560,400.157
14,570,388.201
14,580,376.602
14,590,365.35
14,600,354.433
14,610,343.843
14,620,333.57
14,630,323.603
14,640,313.934
14,650,304.554
14,660,295.454
14,670,286.626
14,680,278.062
14,690,269.754
14,700,261.694
14,710,253.875
14,720,246.29
14,730,238.931
14,740,231.792
14,750,224.866
14,760,218.147
14,770,211.629
14,780,205.306
14,790,199.172
14,800,193.221
14,810,187.447
14,820,181.847
14,830,176.413
14,840,171.142
14,850,166.029
14,860,161.068
14,870,156.256
14,880,151.587
14,890,147.058
14,900,142.664
14,910,138.401
14,920,134.266
14,930,130.254
14,940,126.362
14,950,122.587
14,960,118.924
14,970,115.371
14,980,111.923
14,990,108.579
14,1000,105.335
15,50,1886.27
15,60,1831.18
15,70,1777.69
15,80,1725.76
15,90,1675.35
15,100,1626.42
15,110,1578.91
15,120,1532.79
15,130,1488.02
15,140,1444.55
15,150,1402.36
15,160,1361.4
15,170,1321.63
15,180,1283.03
15,190,1245.55
15,200,1209.17
15,210,1173.85
15,220,1139.56
15,230,1106.27
15,240,1073.96
15,250,1042.59
15,260,1012.14
15,270,982.573
15,280,953.872
15,290,926.01
15,300,898.962
15,310,872.703
15,320,847.212
15,330,822.465
15,340,798.441
15,350,775.119
15,360,752.478
15,370,730.499
15,380,709.161
15,390,688.447
15,400,668.338
15,410,648.816
15,420,629.864
15,430,611.466
15,440,593.605
15,450,576.266
15,460,559.434
15,470,543.093
15,480,527.23
15,490,511.829
15,500,496.879
15,510,482.365
15,520,468.276
15,530,454.598
15,540,441.319
15,550,428.428
15,560,415.914
15,570,403.765
15,580,391.971
15,590,380.522
15,600,369.407
15,610,358.617
15,620,348.142
15,630,337.973
15,640,328.101
15,650,318.517
15,660,309.213
15,670,300.181
15,680,291.413
15,690,282.901
15,700,274.638
15,710,266.616
15,720,258.828
15,730,251.268
15,740,243.928
15,750,236.803
15,760,229.886
15,770,223.171
15,780,216.653
15,790,210.324
15,800,204.181
15,810,198.217
15,820,192.427
15,830,186.806
15,840,181.35
15,850,176.052
15,860,170.91
15,870,165.918
15,880,161.071
15,890,156.367
15,900,151.799
15,910,147.365
15,920,143.061
15,930,138.882
15,940,134.825
15,950,130.887
15,960,127.064
15,970,123.352
15,980,119.749
15,990,116.252
15,1000,112.856
16,50,1892.23
16,60,1838.12
16,70,1785.56
16,80,1734.49
16,90,1684.89
16,100,1636.71
16,110,1589.91
16,120,1544.44
16,130,1500.27
16,140,1457.37
16,150,1415.69
16,160,1375.21
16,170,1335.88
16,180,1297.68
16,190,1260.57
16,200,1224.52
16,210,1189.5
16,220,1155.49
16,230,1122.45
16,240,1090.35
16,250,1059.17
16,260,1028.88
16,270,999.455
16,280,970.873
16,290,943.109
16,300,916.139
16,310,889.941
16,320,864.491
16,330,839.769
16,340,815.754
16,350,792.426
16,360,769.765
16,370,747.753
16,380,726.369
16,390,705.597
16,400,685.419
16,410,665.818
16,420,646.778
16,430,628.282
16,440,610.315
16,450,592.862
16,460,575.908
16,470,559.439
16,480,543.441
16,490,527.9
16,500,512.804
16,510,498.139
16,520,483.894
16,530,470.056
16,540,456.614
16,550,443.556
16,560,430.872
16,570,418.55
16,580,406.581
16,590,394.954
16,600,383.66
16,610,372.688
16,620,362.03
16,630,351.677
16,640,341.62
16,650,331.851
16,660,322.361
16,670,313.143
16,680,304.188
16,690,295.489
16,700,287.039
16,710,278.83
16,720,270.857
16,730,263.111
16,740,255.587
16,750,248.278
16,760,241.178
16,770,234.281
16,780,227.581
16,790,221.073
16,800,214.751
16,810,208.61
16,820,202.644
16,830,196.849
16,840,191.22
16,850,185.752
16,860,180.44
16,870,175.28
16,880,170.267
16,890,165.398
16,900,160.668
16,910,156.074
16,920,151.611
16,930,147.275
16,940,143.063
16,950,138.972
16,960,134.998
16,970,131.137
16,980,127.387
16,990,123.744
16,1000,120.206
17,50,1897.73
17,60,1844.53
17,70,1792.83
17,80,1742.57
17,90,1693.72
17,100,1646.24
17,110,1600.09
17,120,1555.23
17,130,1511.64
17,140,1469.26
17,150,1428.07
17,160,1388.04
17,170,1349.13
17,180,1311.31
17,190,1274.55
17,200,1238.82
17,210,1204.09
17,220,1170.34
17,230,1137.53
17,240,1105.64
17,250,1074.65
17,260,1044.52
17,270,1015.24
17,280,986.781
17,290,959.119
17,300,932.232
17,310,906.099
17,320,880.698
17,330,856.009
17,340,832.013
17,350,808.689
17,360,786.019
17,370,763.985
17,380,742.568
17,390,721.752
17,400,701.519
17,410,681.853
17,420,662.739
17,430,644.161
17,440,626.103
17,450,608.551
17,460,591.492
17,470,574.911
17,480,558.794
17,490,543.13
17,500,527.904
17,510,513.105
17,520,498.722
17,530,484.741
17,540,471.152
17,550,457.945
17,560,445.107
17,570,432.629
17,580,420.501
17,590,408.714
17,600,397.256
17,610,386.12
17,620,375.296
17,630,364.775
17,640,354.55
17,650,344.61
17,660,334.95
17,670,325.56
17,680,316.434
17,690,307.563
17,700,298.942
17,710,290.561
17,720,282.416
17,730,274.499
17,740,266.804
17,750,259.325
17,760,252.055
17,770,244.989
17,780,238.122
17,790,231.446
17,800,224.958
17,810,218.652
17,820,212.523
17,830,206.565
17,840,200.774
17,850,195.146
17,860,189.675
17,870,184.358
17,880,179.19
17,890,174.167
17,900,169.285
17,910,164.539
17,920,159.927
17,930,155.443
17,940,151.086
17,950,146.85
17,960,142.734
17,970,138.733
17,980,134.843
17,990,131.063
17,1000,127.389
18,50,1902.83
18,60,1850.48
18,70,1799.57
18,80,1750.06
18,90,1701.92
18,100,1655.1
18,110,1609.56
18,120,1565.28
18,130,1522.22
18,140,1480.34
18,150,1439.61
18,160,1400.01
18,170,1361.49
18,180,1324.04
18,190,1287.61
18,200,1252.19
18,210,1217.74
18,220,1184.24
18,230,1151.66
18,240,1119.97
18,250,1089.16
18,260,1059.2
18,270,1030.06
18,280,1001.72
18,290,974.161
18,300,947.36
18,310,921.297
18,320,895.951
18,330,871.303
18,340,847.332
18,350,824.021
18,360,801.351
18,370,779.305
18,380,757.865
18,390,737.016
18,400,716.739
18,410,697.021
18,420,677.845
